,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
309,villeneuve-les-avignon,FR,43.9684,4.7963,51.53,71,0,5.01,clear sky
310,cozumel,MX,20.5083,-86.9458,74.95,89,41,1.99,scattered clouds
311,bria,CF,6.5423,21.9863,63.72,22,92,5.35,overcast clouds
312,sarahan,IN,31.5167,77.8,33.53,74,38,6.67,scattered clouds
313,progreso,MX,21.2833,-89.6667,71.11,79,5,11.25,clear sky
314,barra do corda,BR,-5.5,-45.25,72.99,96,41,1.45,scattered clouds
315,plettenberg bay,ZA,-34.0527,23.3716,70.81,59,0,5.17,clear sky
316,dingle,PH,10.9995,122.6711,82.54,66,56,15.28,broken clouds
317,vallenar,CL,-28.5708,-70.7581,70.5,53,0,2.89,clear sky
318,llanes,ES,43.4198,-4.7549,44.28,62,75,7.7,broken clouds
319,nyanguge,TZ,-2.55,33.2,67.71,83,100,6.98,light rain
320,maniitsoq,GL,65.4167,-52.9,2.62,82,100,14.45,overcast clouds
321,antequera,ES,37.0194,-4.5612,53.1,93,6,4.07,clear sky
322,aswan,EG,24.0934,32.907,52.9,43,0,5.75,clear sky
323,medea,DZ,36.2642,2.7539,36.05,94,3,1.99,clear sky
324,kuusamo,FI,65.9667,29.1833,21.24,93,100,11.5,overcast clouds
325,venado tuerto,AR,-33.7456,-61.9688,57.76,62,0,3.56,clear sky
326,honningsvag,NO,70.9821,25.9704,25.7,78,55,28.25,broken clouds
327,margate,GB,51.3813,1.3862,41.95,68,4,10.0,clear sky
328,san antonio,US,29.4241,-98.4936,54.05,48,0,5.75,clear sky
329,felanitx,ES,39.4696,3.1483,44.13,84,0,3.89,clear sky
330,pedernales,DO,18.0384,-71.744,75.97,72,20,2.57,few clouds
331,inhambane,MZ,-23.865,35.3833,76.73,81,75,14.16,broken clouds
332,barra patuca,HN,15.8,-84.2833,74.77,70,5,8.12,clear sky
333,qaqortoq,GL,60.7167,-46.0333,11.37,60,100,29.82,overcast clouds
334,sirjan,IR,29.452,55.6814,40.55,58,0,5.73,clear sky
335,morondava,MG,-20.2833,44.2833,80.8,84,100,25.19,moderate rain
336,leshukonskoye,RU,64.8989,45.7622,13.03,94,99,7.7,overcast clouds
337,tabuk,PH,17.4189,121.4443,71.98,89,100,1.95,overcast clouds
338,jaru,BR,-10.4389,-62.4664,73.54,96,90,3.44,overcast clouds
339,paamiut,GL,61.994,-49.6678,9.84,70,100,29.91,overcast clouds
340,sladkovo,RU,55.5284,70.3385,-5.06,93,60,7.23,broken clouds
341,vila franca do campo,PT,37.7167,-25.4333,60.19,84,30,11.99,scattered clouds
342,hammelburg,DE,50.1167,9.9,39.09,90,95,15.52,overcast clouds
343,manakara,MG,-22.1333,48.0167,77.58,95,89,8.37,overcast clouds
344,aracoiaba,BR,-4.3711,-38.8142,73.85,86,35,2.86,scattered clouds
345,cockburn town,TC,21.4612,-71.1419,75.16,64,20,9.22,few clouds
346,bida,NG,9.0833,6.0167,74.86,19,2,3.94,clear sky
347,pontes e lacerda,BR,-15.2261,-59.3353,70.27,98,100,0.96,overcast clouds
348,aasiaat,GL,68.7098,-52.8699,6.8,93,100,5.32,light snow
349,urubicha,BO,-15.3833,-62.95,69.26,98,100,0.87,overcast clouds
350,hobyo,SO,5.3505,48.5268,75.7,71,100,17.63,overcast clouds
351,picton,AU,-34.1833,150.6,73.58,65,60,10.92,broken clouds
352,ribeira brava,PT,32.65,-17.0667,63.23,68,6,11.92,clear sky
353,muravlenko,RU,63.7898,74.523,-19.7,100,98,6.31,overcast clouds
354,rafaela,AR,-31.2503,-61.4867,63.0,58,0,7.27,clear sky
355,nurota,UZ,40.5614,65.6886,33.89,81,96,0.98,overcast clouds
356,lukoyanov,RU,55.0277,44.4786,8.15,97,98,5.93,overcast clouds
