City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Faanui,PF,2022-02-05 21:39:27,-16.4833,-151.75,81.68,72,13,19.51
93,Yar-Sale,RU,2022-02-05 21:42:52,66.8333,70.8333,-12.82,100,80,2.28
94,Yozgat,TR,2022-02-05 21:42:52,39.5833,35.3333,8.67,90,67,2.59
95,Barcelos,PT,2022-02-05 21:42:52,41.5388,-8.6151,53.85,80,1,5.7
96,Butaritari,KI,2022-02-05 21:40:46,3.0707,172.7902,82.67,73,52,19.33
97,Akdepe,TM,2022-02-05 21:42:53,42.0551,59.3788,39.29,84,100,20.54
98,Shchelkun,RU,2022-02-05 21:42:53,56.3034,60.9483,11.77,93,100,4.32
99,Saldanha,ZA,2022-02-05 21:41:14,-33.0117,17.9442,75.25,75,34,4.14
100,Atuona,PF,2022-02-05 21:42:54,-9.8,-139.0333,79.03,77,6,22.24
101,Knappskog,NO,2022-02-05 21:42:54,60.3819,5.0558,40.28,81,75,13.8
102,Whitianga,NZ,2022-02-05 21:42:46,-36.8333,175.7,72.01,97,98,8.19
103,Edd,ER,2022-02-05 21:42:55,13.9297,41.6925,76.26,77,71,17.92
104,Padang,ID,2022-02-05 21:42:55,-0.9492,100.3543,74.14,94,100,3.76
105,Mataura,NZ,2022-02-05 21:34:46,-46.1927,168.8643,54.48,89,100,1.1
106,West Monroe,US,2022-02-05 21:42:56,32.5185,-92.1476,48.02,46,0,0.0
107,Lompoc,US,2022-02-05 21:42:56,34.6391,-120.4579,74.1,29,0,6.91
108,Chuy,UY,2022-02-05 21:42:57,-33.6971,-53.4616,70.03,84,65,9.33
109,Boende,CD,2022-02-05 21:42:57,-0.2167,20.8667,74.3,65,49,1.97
110,Thompson,CA,2022-02-05 21:42:57,55.7435,-97.8558,-9.24,59,100,4.61
111,Naica,MX,2022-02-05 21:42:58,27.85,-105.4833,56.34,17,0,4.83
112,Poum,NC,2022-02-05 21:42:58,-20.2333,164.0167,80.4,75,100,3.85
113,Avarua,CK,2022-02-05 21:40:20,-21.2078,-159.775,82.45,78,40,17.27
114,Tarakan,ID,2022-02-05 21:42:59,3.3,117.6333,78.37,82,100,7.34
115,Sur,OM,2022-02-05 21:42:59,22.5667,59.5289,71.01,54,0,6.8
116,Port Elizabeth,ZA,2022-02-05 21:43:00,-33.918,25.5701,70.11,88,100,18.41
117,Souillac,MU,2022-02-05 21:39:49,-20.5167,57.5167,79.36,89,40,12.66
118,Fallon,US,2022-02-05 21:43:00,39.4735,-118.7774,51.42,31,40,0.0
119,Nome,US,2022-02-05 21:43:01,64.5011,-165.4064,-5.73,65,0,4.61
120,Ust-Ilimsk,RU,2022-02-05 21:40:45,58.0006,102.6619,19.58,93,100,10.13
121,Tyup,KG,2022-02-05 21:43:01,42.7276,78.3648,8.71,66,1,4.03
122,Kodiak,US,2022-02-05 21:43:02,57.79,-152.4072,36.91,87,100,6.91
123,Abu Samrah,SY,2022-02-05 21:43:02,35.3029,37.1841,43.23,83,21,6.22
124,Grindavik,IS,2022-02-05 21:41:11,63.8424,-22.4338,25.27,80,75,6.91
125,Clyde River,CA,2022-02-05 21:43:03,70.4692,-68.5914,-30.77,75,75,9.22
126,Damghan,IR,2022-02-05 21:43:03,36.1683,54.348,36.54,61,51,8.52
127,Krasnokamensk,RU,2022-02-05 21:43:03,50.0979,118.0369,-11.0,93,99,4.29
128,Pontassieve,IT,2022-02-05 21:43:04,43.7737,11.4282,50.95,94,0,4.61
129,Astana,KZ,2022-02-05 21:38:21,51.1801,71.446,3.15,72,0,6.71
130,At-Bashi,KG,2022-02-05 21:43:04,41.1702,75.8106,2.17,61,99,2.57
131,Shuangyang,CN,2022-02-05 21:43:05,43.5242,125.6736,-4.04,94,67,1.68
132,Broome,US,2022-02-05 21:43:05,42.2506,-75.833,17.22,69,0,5.01
133,Mount Isa,AU,2022-02-05 21:43:05,-20.7333,139.5,74.97,41,0,0.0
134,Viedma,AR,2022-02-05 21:40:46,-40.8135,-62.9967,62.47,48,66,13.62
135,Road Town,VG,2022-02-05 21:41:30,18.4167,-64.6167,73.49,100,20,14.97
136,Saskylakh,RU,2022-02-05 21:43:06,71.9167,114.0833,-27.76,100,99,3.31
137,Bambous Virieux,MU,2022-02-05 21:40:44,-20.3428,57.7575,79.21,89,40,12.66
138,Nanortalik,GL,2022-02-05 21:44:07,60.1432,-45.2371,9.68,59,75,14.05
139,Henties Bay,NA,2022-02-05 21:44:07,-22.116,14.2845,66.85,81,23,4.16
140,Sar-E Pul,AF,2022-02-05 21:44:08,35.8333,66.1667,38.1,89,74,2.51
141,Nuevo Progreso,MX,2022-02-05 21:44:08,23.1667,-97.95,60.6,23,28,8.01
142,Tuktoyaktuk,CA,2022-02-05 21:31:32,69.4541,-133.0374,-32.8,75,20,9.22
143,Quelimane,MZ,2022-02-05 21:44:09,-17.8786,36.8883,76.95,94,20,4.61
144,Port Hardy,CA,2022-02-05 21:40:38,50.6996,-127.4199,46.58,76,75,6.91
145,Imeni Poliny Osipenko,RU,2022-02-05 21:44:09,52.4201,136.4853,-0.2,92,100,4.9
146,Sitka,US,2022-02-05 21:40:27,57.0531,-135.33,44.49,65,100,16.11
147,Castro,BR,2022-02-05 21:44:10,-24.7911,-50.0119,67.98,96,68,9.35
148,Dehloran,IR,2022-02-05 21:44:10,32.6941,47.2679,51.51,59,0,4.59
149,Werkendam,NL,2022-02-05 21:44:11,51.8,4.8833,47.28,76,100,11.01
150,Carnarvon,AU,2022-02-05 21:40:18,-24.8667,113.6333,77.07,88,75,9.22
151,Airai,TL,2022-02-05 21:44:11,-8.9266,125.4092,60.8,91,93,1.5
152,Bloomfield,US,2022-02-05 21:44:02,40.8068,-74.1854,28.65,54,0,8.01
153,Karimpur,IN,2022-02-05 21:44:12,23.9667,88.6167,54.84,76,0,3.58
154,Kruisfontein,ZA,2022-02-05 21:40:57,-34.0033,24.7314,67.89,80,52,16.71
155,Sivas,TR,2022-02-05 21:44:12,39.7916,37.0019,14.63,92,40,9.22
156,Joshimath,IN,2022-02-05 21:44:13,30.5667,79.5667,35.85,37,9,7.67
157,Anadyr,RU,2022-02-05 21:44:13,64.75,177.4833,-5.3,77,0,6.71
158,Ponta Do Sol,PT,2022-02-05 21:44:14,32.6667,-17.1,67.01,58,4,11.32
159,Bunia,CD,2022-02-05 21:44:14,1.5667,30.25,67.21,58,100,2.33
160,Wallacetown,NZ,2022-02-05 21:44:14,-46.3333,168.2667,55.02,66,94,4.54
161,Port Alfred,ZA,2022-02-05 21:44:15,-33.5906,26.891,70.68,83,87,26.22
162,San Patricio,US,2022-02-05 21:44:15,28.017,-97.5169,55.49,28,0,4.85
163,Broken Hill,AU,2022-02-05 21:44:16,-31.95,141.4333,67.71,49,75,10.36
164,Ugoofaaru,MV,2022-02-05 21:44:16,5.6667,73.0,80.56,68,33,7.76
165,Krasnoselkup,RU,2022-02-05 21:44:16,65.7,82.4667,-16.65,100,92,5.53
166,Tikaitnagar,IN,2022-02-05 21:44:17,26.95,81.5833,49.15,89,0,4.52
167,Havoysund,NO,2022-02-05 21:44:17,70.9963,24.6622,29.28,71,52,34.02
168,Pontianak,ID,2022-02-05 21:44:18,-0.0333,109.3333,75.18,100,100,2.3
169,Qaanaaq,GL,2022-02-05 21:44:18,77.484,-69.3632,1.17,97,100,2.62
170,Bull Savanna,JM,2022-02-05 21:44:19,17.8868,-77.5902,77.88,55,23,3.27
171,Flinders,AU,2022-02-05 21:44:19,-34.5833,150.8552,70.21,82,87,8.01
172,Raga,SS,2022-02-05 21:44:19,8.4596,25.678,69.78,20,100,4.9
173,Goderich,CA,2022-02-05 21:44:20,43.7501,-81.7165,19.9,67,98,9.22
174,Cairns,AU,2022-02-05 21:44:20,-16.9167,145.7667,78.75,89,94,5.75
175,Villanueva De La Serena,ES,2022-02-05 21:44:21,38.9766,-5.7974,51.84,72,2,3.02
176,Teya,RU,2022-02-05 21:44:21,60.3778,92.6267,14.2,91,100,7.38
177,Vardo,NO,2022-02-05 21:42:31,70.3705,31.1107,26.85,79,97,28.74
178,Nouadhibou,MR,2022-02-05 21:44:22,20.931,-17.0347,66.18,94,0,17.27
179,Poronaysk,RU,2022-02-05 21:44:22,49.2167,143.1167,10.81,86,100,10.02
180,Marathon,US,2022-02-05 21:44:23,44.9,-89.7668,19.18,62,100,14.97
181,Bulgan,MN,2022-02-05 21:44:23,48.8125,103.5347,-3.41,86,45,4.59
182,Madang,PG,2022-02-05 21:45:24,-5.2246,145.7966,77.86,89,96,6.35
183,Kahului,US,2022-02-05 21:45:24,20.8947,-156.47,82.42,68,40,14.97
184,The Valley,AI,2022-02-05 21:41:23,18.217,-63.0578,77.09,88,75,13.8
185,Tomigusuku,JP,2022-02-05 21:45:25,26.185,127.675,56.97,58,20,18.41
186,La Libertad,EC,2022-02-05 21:45:25,-2.2333,-80.9,83.86,65,0,11.5
