City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
519,yenagoa,NG,75.79,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
521,le port,RE,78.8,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
525,olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
536,mabaruma,GY,72.88,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
537,trincomalee,LK,79.47,broken clouds,8.5711,81.2335,Welcombe Hotel
539,puerto rondon,CO,79.5,scattered clouds,6.2805,-71.1,Urbanización Santa Clara
542,prieska,ZA,73.85,overcast clouds,-29.6641,22.7474,Avenue GuestHouse
544,monrovia,LR,79.61,overcast clouds,6.3005,-10.7969,Sunset Inn
546,guantanamo,CU,76.46,few clouds,20.1444,-75.2092,Hotel Guantánamo
547,galle,LK,79.23,overcast clouds,6.0367,80.217,Amangalla
556,bubaque,GW,76.87,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
563,tubuala,PA,78.91,clear sky,9.5167,-79.0333,Río Nabagana
565,kontagora,NG,71.76,clear sky,10.3999,5.4695,Queens Guest Inn
566,ariquemes,BR,72.5,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
573,san pedro,PH,82.35,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
574,santa isabel do rio negro,BR,72.23,overcast clouds,-0.4139,-65.0192,Hotel GSA
576,barranca,PE,70.75,overcast clouds,-10.75,-77.7667,El Olivar Hospedaje
578,maceio,BR,76.44,few clouds,-9.6658,-35.7353,Poutur Pousada
582,maragogi,BR,78.26,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
604,maraa,BR,72.91,overcast clouds,-1.8333,-65.3667,
606,lomas de sargentillo,EC,75.58,light rain,-1.8833,-80.0833,TALLER AUTOMOTRIZ GARY OLVERA
613,ampanihy,MG,73.27,light rain,-24.7,44.75,Angora Hotel
615,cururupu,BR,75.02,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
617,panama city,PA,78.75,clear sky,8.9936,-79.5197,Riande Urban Hotel
624,graaff-reinet,ZA,73.08,scattered clouds,-32.2522,24.5308,Rietjiesbos Self Catering
626,port-gentil,GA,79.72,scattered clouds,-0.7193,8.7815,Fengshui Residence
629,ambovombe,MG,75.06,moderate rain,-25.1667,46.0833,RELAHARA
631,kathu,TH,83.62,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
635,camocim,BR,77.63,clear sky,-2.9022,-40.8411,Ilha Praia Hotel
636,iralaya,HN,74.68,clear sky,15.0,-83.2333,Iglesia morava renovada
642,caucaia,BR,82.04,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
646,xai-xai,MZ,75.67,broken clouds,-25.0519,33.6442,Complexo da Familia
647,sao felix do xingu,BR,72.27,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
653,rock sound,BS,74.39,clear sky,24.9,-76.2,Pink Corral Bay Property
662,mairi,BR,72.09,overcast clouds,-11.7114,-40.1489,Pousada Solar do Monte
663,oistins,BB,78.89,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
665,bethanien,,73.53,overcast clouds,-26.502,17.1583,Bethanie Hotel
666,alibag,IN,71.67,overcast clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
667,pizarro,CO,76.48,scattered clouds,4.9533,-77.366,Hotel Limonar
669,nicoya,CR,80.15,clear sky,10.1483,-85.452,Las Cabinas Del Sueño
676,bataipora,BR,70.45,overcast clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
681,chazuta,PE,79.65,overcast clouds,-6.5742,-76.1367,Hospedaje Feliz Amanecer
